# MEAN_SAMPLE_SIZE = 4448
# TOTAL_GENES = 18367
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
peroxisomal-disorders                 SET      16     -0.36845     -0.01087       0.2105      0.95996 peroxisomal-disorders
pharyngitis                           SET      12     0.049963    0.0012767      0.27473      0.42785 pharyngitis
pheochromocytoma                      SET       6     -0.34936   -0.0063135      0.41692      0.79897 pheochromocytoma
pinworm                               SET       3    -0.057648  -0.00073672      0.43272      0.55299 pinworm
pneumonia                             SET       6      0.33988    0.0061422      0.36433      0.17544 pneumonia
poison-antidote                       SET       6     -0.34767   -0.0062829      0.40134      0.80682 poison-antidote
polycythemia-vera                     SET       4     0.021911   0.00032332      0.50187      0.48259 polycythemia-vera
postoperative-ileus                   SET       3     0.061772   0.00078942      0.60307      0.45921 postoperative-ileus
postpartum-hemorrhage-(PPH)           SET       5    -0.054486  -0.00089889      0.48773      0.54447 postpartum-hemorrhage-(PPH)
posttraumatic-stress-disorder         SET      11      0.24031    0.0058794      0.30727      0.21709 posttraumatic-stress-disorder
premature-ejaculation-(PE)            SET       5    -0.024258   -0.0004002      0.31646      0.53055 premature-ejaculation-(PE)
premenstrual-syndrome                 SET       2        1.032     0.010768      0.72001     0.075901 premenstrual-syndrome
primary-dysmenorrhea-(PD)             SET      10     0.020133   0.00046967      0.34939      0.47702 primary-dysmenorrhea-(PD)
prostate-cancer                       SET      31      0.11806    0.0048463      0.16307      0.23454 prostate-cancer
prostatitis                           SET       3      0.33554     0.004288      0.48161        0.243 prostatitis
psoriasis                             SET      41     -0.16333   -0.0077083      0.14129      0.87615 psoriasis
psoriatic-arthritis                   SET      10     -0.20762   -0.0048432      0.29087      0.76232 psoriatic-arthritis
psychosis                             SET      23    -0.070967   -0.0025098      0.18678      0.64801 psychosis
pulmonary-arterial-hypertens...       SET      12      0.11142     0.002847      0.29578      0.35321 pulmonary-arterial-hypertension-(PAH)
pulmonary-embolism-(PE)               SET       6      0.41122    0.0074313      0.32846       0.1053 pulmonary-embolism-(PE)
punctate-keratitis                    SET       3     -0.61758   -0.0078924      0.60764      0.84526 punctate-keratitis
Raynaud's-disease                     SET       4     -0.34786   -0.0051331      0.38264      0.81834 Raynaud's-disease
refactory-angina                      SET       2     0.026422    0.0002757      0.70249        0.485 refactory-angina
Refetoff-syndrome                     SET       2       1.3507     0.014095      0.67996     0.023497 Refetoff-syndrome
renal-cell-carcinoma-(RCC)            SET      20      0.19181    0.0063261      0.22452      0.19648 renal-cell-carcinoma-(RCC)
renal-homotransplantation             SET       2      0.71559     0.007467      0.42172     0.044871 renal-homotransplantation
respiratory-depression                SET       9     -0.15833    -0.003504      0.32736      0.68568 respiratory-depression
respiratory-tract-infections          SET      12     -0.20383   -0.0052085      0.23791       0.8042 respiratory-tract-infections
restless-leg-syndrome                 SET      46    0.0074989   0.00037482      0.15096      0.48019 restless-leg-syndrome
retinoblastoma                        SET      10     -0.10365   -0.0024179       0.3766      0.60843 retinoblastoma
reverse-sedative                      SET       6     -0.74606    -0.013483      0.39959      0.96904 reverse-sedative
rheumatoid-arthritis                  SET      64    -0.040734   -0.0024004      0.11776      0.63529 rheumatoid-arthritis
rosacea                               SET       8     -0.35703   -0.0074499      0.32975      0.86053 rosacea
schizophrenia                         SET      64     -0.11436   -0.0067391      0.12216       0.8254 schizophrenia
sciata                                SET       2     -0.35092   -0.0036618      0.70898      0.68969 sciata
seasonal-affective-disorder           SET      22     -0.25477   -0.0088122      0.22771      0.86839 seasonal-affective-disorder
seborrheic-dermatitis                 SET      11     -0.48363    -0.011832      0.30062      0.94616 seborrheic-dermatitis
sedative                              SET      25     -0.18425   -0.0067931      0.21854       0.8004 sedative
seizures                              SET      88    -0.097283   -0.0067178      0.10902      0.81388 seizures
senile-dementia                       SET      37     -0.15103    -0.006772      0.17098      0.81146 senile-dementia
sepsis                                SET       2     -0.84248   -0.0087911       0.7858      0.85816 sepsis
shingles                              SET      37     -0.10901   -0.0048878      0.16784      0.74198 shingles
sinusitis                             SET       3      0.24506    0.0031318      0.44321      0.29016 sinusitis
sitosterolemia                        SET       3     0.046569   0.00059514      0.51624      0.46406 sitosterolemia
skin-infections                       SET      26     -0.17387   -0.0065372      0.18042      0.83239 skin-infections
sleep-cycle-support                   SET      10      -0.1581   -0.0036881      0.32241      0.68806 sleep-cycle-support
sleeplessness                         SET      19     -0.28569   -0.0091842      0.24952      0.87388 sleeplessness
small-cell-lung-cancer                SET       2    -0.095547  -0.00099701      0.48308      0.57839 small-cell-lung-cancer
small-lymphocytic-lymphoma-(...       SET      10     -0.10365   -0.0024179       0.3766      0.60843 small-lymphocytic-lymphoma-(SLL)
smoking-cessation                     SET      16     -0.16625   -0.0049048      0.27604      0.72649 smoking-cessation
social-anxiety-disorder               SET       9      0.15513    0.0034332      0.33869      0.32347 social-anxiety-disorder
soft-tissue-sarcoma-(STS)             SET      12      0.32777    0.0083755      0.29922      0.13668 soft-tissue-sarcoma-(STS)
spasms                                SET      10     -0.41665   -0.0097195      0.32654      0.89901 spasms
spontaneous-preterm-birth             SET       6     0.031644   0.00057185      0.43493        0.471 spontaneous-preterm-birth
stroke                                SET      27      0.19099    0.0073177      0.18752      0.15423 stroke
strongyles                            SET       2     -0.27498   -0.0028693       0.5261      0.69939 strongyles
submental-fat                         SET       2      0.16201    0.0016906      0.58917      0.39167 submental-fat
sunscreen-lotion                      SET       5      -0.3458   -0.0057048      0.35734       0.8334 sunscreen-lotion
syphilis                              SET       7     -0.37922   -0.0074021      0.33955      0.86796 syphilis
systemic-embolism                     SET       2      0.31531    0.0032901      0.56051      0.28688 systemic-embolism
tapeworm                              SET       2     -0.54717   -0.0057096      0.78924      0.75593 tapeworm
tendinitis                            SET       9    -0.087535   -0.0019373      0.33412      0.60333 tendinitis
testicular-carcinoma                  SET      11     -0.13102   -0.0032056      0.34371      0.64847 testicular-carcinoma
tetanus                               SET      25     -0.10249   -0.0037788      0.20909      0.68799 tetanus
thalassemia                           SET       2      -1.1242    -0.011731      0.69303      0.94761 thalassemia
thiamine-deficiency                   SET       3      0.10635    0.0013591      0.57762      0.42696 thiamine-deficiency
throat-infections                     SET       4     -0.13449   -0.0019846      0.38867      0.63534 throat-infections
thrombosis                            SET       6      0.47466    0.0085779      0.35974     0.093515 thrombosis
thyroid-cancer                        SET      11     -0.20923   -0.0051189      0.31205      0.74872 thyroid-cancer
tinea-corporis                        SET       5      0.78871     0.013012      0.39225     0.022184 tinea-corporis
tinea-cruris                          SET       5      0.78871     0.013012      0.39225     0.022184 tinea-cruris
tinea-pedis                           SET       8      0.76224     0.015905       0.3002    0.0055618 tinea-pedis
tinea-versicolor                      SET       4      0.96061     0.014175      0.41976     0.011061 tinea-versicolor
tonsillitis                           SET       6      0.15752    0.0028467      0.41077      0.35068 tonsillitis
toothache                             SET      18     -0.27995   -0.0087598      0.23164      0.88657 toothache
Tourette's-disorder                   SET      17    -0.043644   -0.0013272      0.25808      0.56714 Tourette's-disorder
transfusional-hemosiderosis           SET       2      -1.1242    -0.011731      0.69303      0.94761 transfusional-hemosiderosis
tremors                               SET      15    -0.014708  -0.00042017      0.27403       0.5214 tremors
true-histiocytic-lymphoma-(T...       SET      10     -0.10365   -0.0024179       0.3766      0.60843 true-histiocytic-lymphoma-(THL)
tuberculosis                          SET      12      0.22721    0.0058058      0.27247      0.20218 tuberculosis
ulcerative-colitis                    SET      49     -0.20652    -0.010653      0.12939      0.94475 ulcerative-colitis
urethritis                            SET       3      0.33554     0.004288      0.48161        0.243 urethritis
urinary-frequency                     SET       5     -0.14948    -0.002466      0.44038      0.63285 urinary-frequency
urinary-incontinence                  SET       5     -0.14948    -0.002466      0.44038      0.63285 urinary-incontinence
urinary-tract-infections              SET      14     -0.12962   -0.0035773      0.25631      0.69347 urinary-tract-infections
urticaria                             SET      23     -0.44807    -0.015846      0.20504      0.98556 urticaria
vaginal-atrophy                       SET       3     -0.16683    -0.002132       0.6046       0.6087 vaginal-atrophy
varicose-veins                        SET      13     -0.15156    -0.004031      0.24256      0.73397 varicose-veins
vascular-spasm                        SET       3      0.26065     0.003331      0.52407      0.30947 vascular-spasm
vasomotor-rhinitis                    SET      10     -0.28538   -0.0066572      0.32879      0.80729 vasomotor-rhinitis
vasospastic-angina                    SET      14      0.44274     0.012219      0.28951     0.063108 vasospastic-angina
ventricular-arrhythmias               SET      33     0.001809   7.6613e-05      0.18199      0.49603 ventricular-arrhythmias
ventricular-tachycardia-(VT)          SET      13     -0.10453   -0.0027801      0.30208      0.63534 ventricular-tachycardia-(VT)
vertigo                               SET      15     -0.12098   -0.0034561      0.22252      0.70667 vertigo
virus-herpes-simplex-(HSV)            SET      35     0.018095   0.00078916      0.17221      0.45816 virus-herpes-simplex-(HSV)
vitamin-B6-deficiency                 SET       2     -0.13138   -0.0013709      0.76428      0.56824 vitamin-B6-deficiency
vitamin-D-deficiency                  SET       2       0.3429    0.0035781      0.55166      0.26712 vitamin-D-deficiency
vomiting                              SET      36     -0.12469   -0.0055149      0.17333      0.76403 vomiting
vulvovaginal-candidiasis              SET       7     0.072714    0.0014193      0.36632      0.42133 vulvovaginal-candidiasis
weight-loss-aid                       SET       6       0.2147    0.0038801      0.43267      0.30987 weight-loss-aid
whipworm                              SET       3    -0.057648  -0.00073672      0.43272      0.55299 whipworm
Wilm's-tumor                          SET       2      0.20869    0.0021776      0.48005      0.33189 Wilm's-tumor
Wolff-Parkinson-White-Syndro...       SET       7      0.89858     0.017539      0.33683    0.0038215 Wolff-Parkinson-White-Syndrome-(WPW)
xerosis-cutis                         SET       3     -0.78937    -0.010088       0.4592      0.95718 xerosis-cutis
Zellweger-syndrome                    SET      16     -0.36845     -0.01087       0.2105      0.95996 Zellweger-syndrome
Zollinger-Ellison-syndrome            SET       4    -0.040559   -0.0005985      0.38982      0.54143 Zollinger-Ellison-syndrome
